gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,total_score,performance_level
male,group C,associate's degree,standard,completed,59,57,55,171,Low
male,group B,bachelor's degree,free/reduced,none,59,70,58,187,Medium
female,group D,some high school,standard,completed,76,90,87,253,High
female,group C,high school,standard,completed,55,71,71,197,Medium
female,group D,bachelor's degree,standard,completed,78,87,89,254,High
female,group C,bachelor's degree,standard,completed,51,53,62,166,Low
female,group C,some high school,standard,completed,41,43,45,129,Low
female,group D,associate's degree,standard,none,74,78,86,238,Medium
male,group C,master's degree,standard,none,62,54,58,174,Low
male,group D,associate's degree,standard,none,77,71,64,212,Medium
male,group C,some high school,standard,none,45,52,45,142,Low
male,group E,some college,standard,completed,100,84,87,271,High
female,group D,associate's degree,free/reduced,completed,83,95,100,278,High
female,group E,associate's degree,free/reduced,completed,77,75,82,234,Medium
male,group C,high school,standard,completed,66,70,64,200,Medium
male,group B,some college,standard,none,65,63,57,185,Medium
male,group D,associate's degree,standard,none,62,55,56,173,Low
male,group E,some college,standard,none,55,54,54,163,Low
male,group C,some high school,free/reduced,none,73,78,69,220,Medium
male,group A,some college,standard,completed,73,81,76,230,Medium
female,group B,associate's degree,standard,completed,48,66,68,182,Medium
male,group D,some college,free/reduced,none,52,44,49,145,Low
female,group C,some high school,free/reduced,none,60,72,64,196,Medium
male,group B,associate's degree,free/reduced,none,68,63,57,188,Medium
female,group D,some college,free/reduced,none,65,77,83,225,Medium
female,group D,bachelor's degree,standard,none,86,83,87,256,High
female,group B,associate's degree,standard,none,55,62,60,177,Low
male,group B,master's degree,standard,completed,80,71,68,219,Medium
female,group B,high school,free/reduced,none,51,57,57,165,Low
female,group B,some high school,standard,completed,63,61,66,190,Medium
male,group E,some college,standard,none,60,55,46,161,Low
female,group E,bachelor's degree,standard,completed,100,100,100,300,High
male,group A,associate's degree,free/reduced,none,46,44,44,134,Low
female,group C,some college,standard,completed,67,78,80,225,Medium
female,group C,high school,free/reduced,none,54,67,59,180,Medium
female,group B,associate's degree,standard,none,63,79,76,218,Medium
male,group D,bachelor's degree,standard,none,68,66,73,207,Medium
female,group C,associate's degree,free/reduced,none,54,63,58,175,Low
female,group C,some college,standard,none,43,44,47,134,Low
male,group B,high school,free/reduced,none,64,64,59,187,Medium
female,group E,associate's degree,free/reduced,none,92,87,87,266,High
female,group D,associate's degree,free/reduced,none,82,95,93,270,High
male,group E,some high school,free/reduced,none,84,78,79,241,High
female,group D,associate's degree,standard,completed,84,98,97,279,High
male,group D,associate's degree,free/reduced,none,65,63,65,193,Medium
female,group C,bachelor's degree,standard,none,83,92,91,266,High
female,group B,some high school,standard,completed,70,75,75,220,Medium
male,group A,bachelor's degree,standard,completed,66,72,70,208,Medium
female,group D,bachelor's degree,standard,completed,71,87,92,250,High
male,group B,bachelor's degree,standard,none,66,64,58,188,Medium
female,group B,some high school,standard,completed,57,64,68,189,Medium
female,group C,master's degree,standard,none,86,90,93,269,High
female,group A,high school,standard,none,80,85,83,248,High
female,group B,high school,standard,none,62,60,59,181,Medium
female,group D,some college,standard,none,71,71,76,218,Medium
female,group C,some college,free/reduced,completed,57,66,71,194,Medium
male,group A,some high school,free/reduced,completed,69,64,62,195,Medium
male,group B,some college,standard,completed,83,74,72,229,Medium
female,group D,some college,free/reduced,none,50,56,60,166,Low
female,group C,bachelor's degree,standard,none,55,56,56,167,Low
male,group B,some high school,free/reduced,none,55,53,51,159,Low
female,group D,some college,free/reduced,completed,83,93,95,271,High
male,group D,high school,standard,completed,89,87,86,262,High
female,group D,some high school,standard,none,51,62,64,177,Low
female,group C,some college,standard,none,48,52,49,149,Low
female,group E,bachelor's degree,standard,none,84,95,89,268,High
female,group C,associate's degree,standard,none,69,83,76,228,Medium
female,group C,associate's degree,standard,completed,75,85,87,247,High
female,group C,master's degree,standard,none,91,100,99,290,High
male,group B,high school,standard,none,76,77,67,220,Medium
male,group E,some high school,free/reduced,none,63,61,59,183,Medium
male,group D,high school,standard,none,73,65,64,202,Medium
male,group B,some high school,free/reduced,completed,52,63,53,168,Low
male,group B,some high school,standard,completed,58,57,53,168,Low
female,group B,some high school,standard,none,33,51,51,135,Low
male,group E,some high school,free/reduced,none,68,62,61,191,Medium
female,group C,associate's degree,standard,completed,77,91,89,257,High
female,group C,bachelor's degree,standard,none,64,64,66,194,Medium
female,group D,some high school,free/reduced,none,39,49,48,136,Low
male,group D,bachelor's degree,standard,none,50,46,48,144,Low
male,group A,master's degree,free/reduced,none,53,57,51,161,Low
female,group B,associate's degree,standard,completed,54,62,70,186,Medium
male,group D,high school,standard,none,74,63,65,202,Medium
female,group D,associate's degree,standard,completed,50,63,65,178,Low
male,group E,associate's degree,standard,none,55,54,47,156,Low
male,group C,some college,standard,none,77,64,70,211,Medium
female,group B,some high school,standard,completed,49,64,67,180,Medium
female,group D,associate's degree,free/reduced,none,66,83,82,231,Medium
male,group B,some high school,standard,completed,77,74,75,226,Medium
female,group A,master's degree,standard,completed,74,78,84,236,Medium
male,group C,some college,standard,none,85,78,81,244,High
female,group A,some college,standard,none,77,86,84,247,High
female,group B,associate's degree,standard,none,64,62,66,192,Medium
female,group D,high school,free/reduced,completed,61,69,68,198,Medium
male,group D,associate's degree,standard,none,97,88,85,270,High
male,group C,some college,standard,completed,66,75,70,211,Medium
male,group C,some high school,standard,none,62,66,64,192,Medium
female,group E,some high school,standard,completed,64,80,77,221,Medium
female,group B,bachelor's degree,free/reduced,none,55,57,60,172,Low
female,group B,associate's degree,standard,none,53,72,66,191,Medium
female,group D,some college,free/reduced,none,71,81,77,229,Medium
male,group B,high school,free/reduced,completed,66,59,68,193,Medium
male,group C,associate's degree,standard,none,68,61,62,191,Medium
male,group D,some college,standard,none,89,90,83,262,High
male,group C,associate's degree,standard,completed,65,69,74,208,Medium
female,group B,some high school,standard,none,43,48,44,135,Low
female,group D,master's degree,standard,none,79,77,83,239,Medium
male,group D,bachelor's degree,standard,none,99,94,97,290,High
male,group D,some high school,standard,none,82,69,72,223,Medium
male,group D,some college,free/reduced,completed,35,36,39,110,Low
female,group D,bachelor's degree,free/reduced,none,61,71,73,205,Medium
female,group D,high school,standard,none,76,80,81,237,Medium
male,group C,associate's degree,free/reduced,completed,94,83,82,259,High
female,group C,high school,standard,none,75,90,78,243,High
male,group B,some college,standard,none,81,75,70,226,Medium
male,group C,some college,free/reduced,none,35,44,33,112,Low
male,group C,some college,standard,none,76,74,72,222,Medium
female,group B,bachelor's degree,standard,none,58,79,82,219,Medium
male,group C,associate's degree,standard,completed,100,91,90,281,High
female,group C,bachelor's degree,standard,none,53,68,64,185,Medium
female,group D,high school,standard,none,82,95,96,273,High
male,group B,associate's degree,standard,none,76,62,64,202,Medium
male,group C,bachelor's degree,standard,completed,83,75,75,233,Medium
female,group D,some college,standard,none,72,84,82,238,Medium
male,group D,associate's degree,standard,completed,76,76,83,235,Medium
male,group D,some high school,standard,none,66,64,58,188,Medium
male,group C,some college,standard,none,63,65,63,191,Medium
male,group B,some high school,standard,none,36,34,28,98,Low
male,group C,high school,standard,none,68,74,71,213,Medium
female,group C,some high school,free/reduced,completed,40,52,42,134,Low
male,group D,some high school,standard,none,68,71,61,200,Medium
male,group C,associate's degree,standard,completed,56,54,52,162,Low
female,group D,associate's degree,free/reduced,none,74,83,80,237,Medium
female,group D,some college,free/reduced,none,53,70,71,194,Medium
male,group B,some high school,standard,none,88,65,70,223,Medium
male,group D,some high school,standard,none,67,63,61,191,Medium
female,group B,associate's degree,standard,none,60,76,65,201,Medium
female,group C,high school,free/reduced,none,51,61,54,166,Low
female,group D,some high school,standard,none,53,66,59,178,Low
male,group A,bachelor's degree,standard,none,80,78,74,232,Medium
female,group E,some high school,standard,none,69,71,67,207,Medium
female,group B,some high school,free/reduced,none,64,79,70,213,Medium
female,group D,associate's degree,free/reduced,completed,80,87,89,256,High
female,group A,some high school,standard,none,58,72,62,192,Medium
female,group C,high school,standard,none,39,46,50,135,Low
male,group D,some high school,standard,none,64,56,50,170,Low
male,group D,associate's degree,standard,none,61,66,63,190,Medium
male,group D,some high school,standard,completed,90,82,88,260,High
male,group D,some high school,standard,none,73,71,64,208,Medium
male,group C,associate's degree,standard,none,73,73,70,216,Medium
female,group D,associate's degree,standard,none,67,76,77,220,Medium
female,group B,some college,standard,none,57,58,62,177,Low
female,group E,some college,standard,none,65,73,72,210,Medium
female,group C,some high school,standard,none,71,72,71,214,Medium
female,group D,some high school,standard,none,59,69,72,200,Medium
male,group B,high school,standard,completed,74,71,65,210,Medium
female,group E,high school,standard,none,93,100,93,286,High
female,group B,some high school,standard,completed,85,93,92,270,High
female,group E,some high school,standard,none,76,83,79,238,Medium
female,group D,high school,free/reduced,none,58,72,70,200,Medium
female,group E,associate's degree,standard,none,72,77,77,226,Medium
female,group B,high school,standard,none,40,49,47,136,Low
male,group D,high school,standard,completed,75,73,66,214,Medium
male,group D,some high school,standard,none,85,81,80,246,High
male,group E,associate's degree,standard,completed,100,100,100,300,High
female,group B,some college,free/reduced,completed,53,65,66,184,Medium
male,group D,some college,free/reduced,none,40,42,39,121,Low
male,group B,bachelor's degree,free/reduced,none,49,49,49,147,Low
male,group C,associate's degree,standard,none,77,80,80,237,Medium
female,group D,high school,standard,none,82,89,84,255,High
male,group C,some college,standard,none,55,48,42,145,Low
female,group C,some high school,free/reduced,none,62,71,77,210,Medium
male,group B,high school,standard,completed,69,63,59,191,Medium
male,group C,associate's degree,standard,none,78,74,76,228,Medium
female,group B,high school,free/reduced,completed,71,77,82,230,Medium
male,group D,some college,free/reduced,completed,59,71,66,196,Medium
female,group D,high school,free/reduced,none,60,75,70,205,Medium
female,group C,bachelor's degree,free/reduced,completed,43,60,60,163,Low
female,group C,some high school,standard,none,77,83,86,246,High
male,group D,some high school,free/reduced,none,50,47,46,143,Low
female,group E,bachelor's degree,free/reduced,none,56,58,52,166,Low
male,group B,high school,standard,none,69,58,50,177,Low
male,group D,high school,standard,none,47,43,39,129,Low
male,group B,some college,free/reduced,none,43,28,24,95,Low
male,group A,some high school,free/reduced,none,48,39,40,127,Low
male,group C,high school,free/reduced,none,55,62,49,166,Low
male,group C,some college,standard,none,73,68,66,207,Medium
male,group D,bachelor's degree,standard,none,71,63,66,200,Medium
female,group B,some college,standard,none,54,57,60,171,Low
male,group C,high school,standard,none,66,61,63,190,Medium
male,group A,master's degree,standard,none,63,63,67,193,Medium
female,group D,bachelor's degree,standard,none,66,81,73,220,Medium
male,group C,bachelor's degree,standard,completed,79,80,75,234,Medium
male,group D,associate's degree,free/reduced,completed,73,69,70,212,Medium
female,group C,some high school,standard,none,36,57,53,146,Low
male,group C,associate's degree,free/reduced,none,50,48,43,141,Low
male,group E,some college,standard,completed,87,78,80,245,High
male,group C,associate's degree,standard,none,71,68,63,202,Medium
female,group C,associate's degree,standard,completed,85,87,94,266,High
female,group C,high school,standard,completed,58,67,64,189,Medium
male,group C,some college,standard,none,86,83,81,250,High
female,group D,some high school,free/reduced,none,64,86,89,239,Medium
male,group D,some college,standard,none,83,85,79,247,High
male,group E,high school,free/reduced,completed,58,56,49,163,Low
female,group C,some college,free/reduced,completed,59,83,81,223,Medium
female,group C,high school,standard,none,40,58,54,152,Low
male,group D,associate's degree,standard,completed,82,83,85,250,High
male,group E,some high school,standard,none,87,84,80,251,High
female,group C,some high school,standard,none,62,65,64,191,Medium
male,group B,associate's degree,free/reduced,completed,76,80,78,234,Medium
female,group A,high school,standard,none,63,69,60,192,Medium
male,group D,some college,free/reduced,completed,58,60,59,177,Low
male,group D,associate's degree,standard,completed,61,63,65,189,Medium
male,group C,some college,standard,none,78,69,71,218,Medium
female,group C,bachelor's degree,free/reduced,completed,78,90,81,249,High
male,group C,some college,standard,none,56,54,43,153,Low
male,group D,some high school,standard,none,96,83,82,261,High
male,group C,high school,standard,none,48,43,40,131,Low
male,group C,associate's degree,standard,completed,70,76,72,218,Medium
male,group D,some college,free/reduced,none,43,68,58,169,Low
female,group E,high school,free/reduced,none,45,46,49,140,Low
female,group C,associate's degree,standard,none,58,68,62,188,Medium
female,group A,high school,standard,completed,70,73,80,223,Medium
female,group E,some high school,standard,none,60,61,58,179,Low
male,group C,some high school,free/reduced,none,52,53,47,152,Low
male,group C,associate's degree,free/reduced,none,61,62,54,177,Low
female,group D,some high school,standard,none,55,70,61,186,Medium
male,group B,high school,standard,completed,80,80,79,239,Medium
male,group D,some college,free/reduced,none,63,60,54,177,Low
female,group B,master's degree,standard,none,79,79,87,245,High
male,group A,associate's degree,standard,none,74,78,72,224,Medium
female,group B,some college,free/reduced,completed,46,58,64,168,Low
female,group B,some high school,standard,completed,72,88,92,252,High
female,group E,some high school,free/reduced,none,58,64,64,186,Medium
female,group E,master's degree,standard,none,47,50,47,144,Low
female,group D,bachelor's degree,standard,completed,68,78,84,230,Medium
male,group D,bachelor's degree,free/reduced,completed,68,71,67,206,Medium
female,group D,high school,standard,none,65,75,68,208,Medium
female,group B,associate's degree,standard,none,50,54,51,155,Low
female,group B,high school,free/reduced,completed,48,71,68,187,Medium
female,group B,bachelor's degree,standard,none,58,60,64,182,Medium
male,group C,some high school,free/reduced,completed,71,74,68,213,Medium
male,group D,some high school,free/reduced,completed,58,52,48,158,Low
female,group A,some college,free/reduced,none,66,90,83,239,Medium
male,group C,some college,free/reduced,none,44,53,43,140,Low
female,group B,some high school,standard,completed,51,63,66,180,Medium
male,group A,some college,standard,completed,78,83,77,238,Medium
male,group C,high school,standard,none,72,71,65,208,Medium
female,group D,associate's degree,standard,none,60,64,67,191,Medium
female,group C,associate's degree,free/reduced,none,55,61,60,176,Low
male,group B,some high school,standard,none,64,67,64,195,Medium
female,group C,some high school,free/reduced,none,57,64,60,181,Medium
female,group A,high school,standard,none,70,75,74,219,Medium
male,group D,some high school,standard,completed,84,72,76,232,Medium
female,group B,some college,standard,completed,66,71,76,213,Medium
female,group C,bachelor's degree,free/reduced,completed,56,65,73,194,Medium
male,group E,some college,free/reduced,completed,59,53,56,168,Low
female,group E,bachelor's degree,standard,none,87,89,84,260,High
male,group E,high school,free/reduced,none,73,75,64,212,Medium
female,group A,high school,standard,none,85,91,89,265,High
male,group B,some college,free/reduced,none,49,54,42,145,Low
female,group C,bachelor's degree,standard,completed,82,87,90,259,High
female,group D,some college,standard,none,80,90,90,260,High
female,group E,high school,standard,none,48,51,43,142,Low
female,group D,high school,standard,completed,85,83,94,262,High
female,group E,some high school,standard,completed,70,78,76,224,Medium
male,group E,associate's degree,standard,completed,89,84,81,254,High
female,group D,high school,standard,completed,72,86,79,237,Medium
female,group D,some high school,free/reduced,none,80,86,87,253,High
female,group D,some high school,free/reduced,none,43,57,50,150,Low
male,group C,some high school,free/reduced,completed,54,61,61,176,Low
male,group A,associate's degree,free/reduced,completed,82,82,78,242,High
male,group C,bachelor's degree,free/reduced,none,74,80,78,232,Medium
female,group C,some college,standard,none,63,62,64,189,Medium
female,group C,high school,free/reduced,none,47,56,51,154,Low
female,group C,some college,free/reduced,none,13,29,23,65,Low
male,group D,some college,free/reduced,none,67,58,56,181,Medium
male,group C,some high school,standard,none,57,59,54,170,Low
female,group B,some high school,standard,none,64,78,83,225,Medium
female,group D,associate's degree,standard,none,85,100,100,285,High
female,group B,associate's degree,standard,completed,70,80,86,236,Medium
male,group B,bachelor's degree,standard,completed,90,73,83,246,High
female,group A,some college,free/reduced,completed,53,70,69,192,Medium
male,group C,some college,standard,completed,74,73,75,222,Medium
male,group A,associate's degree,standard,completed,61,71,67,199,Medium
female,group C,some high school,standard,completed,55,74,73,202,Medium
female,group B,some college,standard,completed,65,63,66,194,Medium
female,group A,high school,standard,none,77,77,79,233,Medium
male,group C,associate's degree,standard,none,74,61,56,191,Medium
male,group D,some college,standard,none,94,92,85,271,High
female,group B,associate's degree,standard,completed,54,64,68,186,Medium
male,group A,high school,standard,none,52,49,43,144,Low
male,group D,some college,standard,none,73,75,71,219,Medium
male,group C,high school,standard,none,81,72,58,211,Medium
female,group B,bachelor's degree,free/reduced,none,62,75,72,209,Medium
female,group C,master's degree,free/reduced,none,55,60,61,176,Low
male,group C,some high school,free/reduced,completed,55,61,61,177,Low
female,group D,some high school,standard,none,61,62,61,184,Medium
male,group E,high school,standard,none,75,70,64,209,Medium
male,group E,some college,free/reduced,none,79,65,59,203,Medium
female,group C,some high school,standard,none,70,70,68,208,Medium
male,group A,some college,standard,none,72,65,59,196,Medium
female,group C,some high school,free/reduced,none,38,46,33,117,Low
female,group A,bachelor's degree,standard,none,57,71,63,191,Medium
male,group D,some high school,standard,none,76,71,70,217,Medium
male,group C,some college,free/reduced,none,45,45,38,128,Low
male,group D,associate's degree,standard,none,77,73,74,224,Medium
male,group C,high school,standard,none,40,39,30,109,Low
female,group E,some college,standard,none,78,83,78,239,Medium
female,group A,master's degree,free/reduced,none,63,65,66,194,Medium
male,group C,associate's degree,standard,none,83,70,73,226,Medium
male,group C,associate's degree,free/reduced,none,55,52,47,154,Low
male,group B,some college,standard,completed,88,78,76,242,High
male,group C,bachelor's degree,standard,none,82,83,85,250,High
male,group E,bachelor's degree,standard,none,86,71,71,228,Medium
female,group C,associate's degree,free/reduced,none,61,74,72,207,Medium
female,group D,some college,standard,completed,78,85,93,256,High
male,group C,associate's degree,standard,none,67,63,66,196,Medium
female,group E,some high school,standard,none,83,87,83,253,High
male,group C,some high school,standard,none,68,74,69,211,Medium
male,group C,some college,standard,none,53,52,44,149,Low
male,group D,associate's degree,standard,none,91,88,90,269,High
male,group B,associate's degree,free/reduced,none,67,66,66,199,Medium
female,group C,high school,standard,completed,53,64,62,179,Low
female,group C,master's degree,standard,completed,86,100,100,286,High
male,group E,some high school,free/reduced,completed,75,70,61,206,Medium
male,group C,some college,standard,none,55,38,35,128,Low
male,group D,bachelor's degree,standard,completed,93,86,95,274,High
female,group E,high school,standard,none,62,71,66,199,Medium
male,group C,some college,free/reduced,none,83,76,71,230,Medium
male,group D,some high school,standard,none,73,72,64,209,Medium
female,group C,high school,free/reduced,none,57,52,53,162,Low
female,group C,some college,standard,none,70,75,75,220,Medium
female,group B,high school,standard,completed,55,62,64,181,Medium
male,group C,high school,standard,none,65,56,51,172,Low
female,group C,some high school,standard,completed,76,85,88,249,High
male,group C,master's degree,free/reduced,none,59,47,46,152,Low
male,group C,associate's degree,standard,completed,74,73,77,224,Medium
male,group B,some high school,standard,none,65,59,60,184,Medium
male,group B,some college,standard,completed,89,87,89,265,High
female,group B,master's degree,standard,none,71,82,82,235,Medium
male,group C,some college,free/reduced,completed,63,69,59,191,Medium
male,group C,some high school,standard,completed,57,55,60,172,Low
male,group B,some college,free/reduced,completed,56,67,56,179,Low
male,group A,some high school,free/reduced,completed,49,44,41,134,Low
female,group C,some college,free/reduced,completed,28,44,50,122,Low
female,group C,bachelor's degree,free/reduced,none,69,73,71,213,Medium
female,group D,some high school,free/reduced,none,49,62,60,171,Low
male,group B,some high school,standard,completed,67,62,58,187,Medium
female,group B,some college,free/reduced,completed,74,85,82,241,High
female,group C,bachelor's degree,standard,completed,47,67,63,177,Low
female,group C,some college,standard,none,63,63,69,195,Medium
male,group C,some college,standard,none,73,51,53,177,Low
female,group D,some college,standard,none,91,94,96,281,High
male,group B,some college,standard,none,80,87,79,246,High
female,group C,associate's degree,standard,none,66,73,68,207,Medium
male,group B,some college,standard,none,52,48,43,143,Low
female,group B,some college,standard,none,65,71,65,201,Medium
male,group D,some college,standard,completed,83,75,71,229,Medium
female,group C,some high school,free/reduced,none,80,85,78,243,High
male,group E,bachelor's degree,free/reduced,none,68,68,59,195,Medium
male,group C,some college,free/reduced,completed,68,73,68,209,Medium
male,group C,associate's degree,free/reduced,none,62,43,45,150,Low
female,group B,some high school,standard,none,76,88,84,248,High
female,group C,bachelor's degree,free/reduced,none,77,79,83,239,Medium
female,group E,master's degree,free/reduced,none,83,81,83,247,High
female,group C,some college,free/reduced,none,71,78,82,231,Medium
male,group D,some college,free/reduced,completed,86,91,89,266,High
male,group B,master's degree,standard,none,93,96,96,285,High
female,group B,associate's degree,free/reduced,none,60,64,60,184,Medium
female,group D,some high school,standard,none,57,56,58,171,Low
male,group C,bachelor's degree,standard,none,84,79,74,237,Medium
female,group D,bachelor's degree,standard,none,66,71,75,212,Medium
male,group D,master's degree,standard,none,85,69,74,228,Medium
female,group D,master's degree,standard,completed,57,68,76,201,Medium
female,group C,some high school,standard,none,41,49,49,139,Low
female,group C,some high school,standard,none,75,76,76,227,Medium
male,group D,high school,free/reduced,none,65,63,60,188,Medium
male,group E,some college,standard,none,78,65,60,203,Medium
female,group B,some high school,free/reduced,none,26,34,28,88,Low
male,group E,some college,free/reduced,none,71,64,66,201,Medium
male,group B,bachelor's degree,standard,completed,86,92,93,271,High
male,group B,associate's degree,standard,completed,89,84,81,254,High
female,group B,high school,free/reduced,none,53,64,63,180,Medium
female,group C,associate's degree,standard,none,87,87,92,266,High
male,group D,associate's degree,standard,none,71,57,59,187,Medium
male,group D,high school,standard,none,77,80,72,229,Medium
female,group C,high school,free/reduced,completed,43,48,53,144,Low
female,group C,associate's degree,standard,none,88,91,86,265,High
male,group E,some high school,standard,none,86,76,63,225,Medium
female,group E,some high school,free/reduced,completed,45,56,55,156,Low
male,group C,some college,standard,none,69,56,57,182,Medium
female,group D,high school,standard,none,65,70,72,207,Medium
male,group E,some college,free/reduced,none,81,79,71,231,Medium
female,group A,some high school,standard,none,90,88,86,264,High
